feature,importance
lat,122284.41
sqft_living,106910.92
sqft_living15,31159.367
long,31040.34
view_0,15157.7
sqft_above,14318.093
yr_built,8444.869
grade_10,7678.082
grade_9,7668.272
grade_7,7105.5527
house_age,7054.2183
sqft_lot,6736.4556
condition_3,6578.486
zipcode,6459.2344
living_lot_ratio,5592.0107
sqft_basement,5358.5513
grade_8,5310.858
waterfront_0,4885.1343
bath_bed_ratio,4884.628
view_4,4713.5796
condition_5,4528.03
grade_11,4506.209
grade_6,3944.5479
sqft_lot15,3852.8987
bathrooms,2648.1526
yr_renovated,2607.3193
condition_4,2372.6187
living_compared_15,2175.5354
view_3,1606.7677
floors,1420.333
lot_compared_15,1323.0496
bedrooms,726.00757
grade_12,512.623
condition_2,324.98526
grade_5,299.4561
view_2,94.446075
condition_1,56.434128
view_1,39.163437
grade_13,33.85834
is_renovated,0.0
total_sqft,0.0
waterfront_1,0.0
grade_4,0.0
grade_1,0.0
grade_3,0.0
